PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2,tc
Q9H1D9,POLR3F,RPC6_HUMAN,cytosol [GO:0005829]; DNA-directed RNA polymerase III complex [GO:0005666]; nucleoplasm [GO:0005654]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; double-stranded DNA binding [GO:0003690]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-beta production [GO:0032728]; regulation of transcription by RNA polymerase III [GO:0006359]; transcription by RNA polymerase III [GO:0006383],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (DNA-directed RNA polymerase III subunit F) (RNA polymerase III 39 kDa subunit) (RPC39),GO:0003690; GO:0003899; GO:0005654; GO:0005666; GO:0005829; GO:0006359; GO:0006383; GO:0032728; GO:0045087; GO:0045089; GO:0051607,0.001525292,6.95E-06,2.65E-05,0.070296241,0.047620195,0.0761297,0.070296241,-3.830408649,0.064162466,0.032600812,7.654315058,0.001141988,0.021022407,-3.700418174,35684,1.677317569,4,0,0,2.65E-05,0.070296241,2653.399462,11.37362617,-3.830408649,-4.392282659,-3.715396802,1
Q68D91,MBLAC2,MBLC2_HUMAN,extracellular exosome [GO:0070062]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872],,Metallo-beta-lactamase domain-containing protein 2 (EC 3.-.-.-),GO:0016787; GO:0046872; GO:0070062,1.00E-07,1.00E-07,1.00E-07,0.058815931,0.05980444,0.037764522,0.058815931,-4.0876492,0.052128198,0.026064199,7.535887664,0.001216716,0.021960323,-3.777573383,31372,1.658361276,7,3,0,1.00E-07,0.058815931,588159.3144,19.16584746,-4.0876492,-4.063603586,-4.72682465,1
Q969R2,OSBP2,OSBP2_HUMAN,apical dendrite [GO:0097440]; membrane [GO:0016020]; cholesterol binding [GO:0015485]; lipid transport [GO:0006869]; spermatid development [GO:0007286],SUBCELLULAR LOCATION: Membrane; Peripheral membrane protein.,Oxysterol-binding protein 2 (Oxysterol-binding protein-related protein 4) (ORP-4) (OSBP-related protein 4),GO:0006869; GO:0007286; GO:0015485; GO:0016020; GO:0097440,1.00E-07,1.00E-07,1.00E-07,0.016462768,0.020637143,0.012677692,0.016462768,-5.924649272,0.016592434,0.008296317,7.498477978,0.001241549,0.022070122,-3.802162383,101266,1.656195265,4,3,0,1.00E-07,0.016462768,164627.679,17.32884739,-5.924649272,-5.598612934,-6.301564029,1
Q96PE2,ARHGEF17,ARHGH_HUMAN,cytosol [GO:0005829]; guanyl-nucleotide exchange factor activity [GO:0005085]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; actin cytoskeleton organization [GO:0030036]; G-protein coupled receptor signaling pathway [GO:0007186]; positive regulation of apoptotic process [GO:0043065]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056],,Rho guanine nucleotide exchange factor 17 (164 kDa Rho-specific guanine-nucleotide exchange factor) (p164-RhoGEF) (p164RhoGEF) (Tumor endothelial marker 4),GO:0005085; GO:0005089; GO:0005829; GO:0007186; GO:0030036; GO:0035023; GO:0043065; GO:0051056,0.034475167,0.00020205,0.000124214,0.166777547,0.122503664,0.176263857,0.166777547,-2.584003021,0.143581212,0.083391083,7.410994196,0.001302075,0.02250891,-3.860077477,221673,1.647645537,10,0,0,0.00020205,0.166777547,825.4290543,9.68900041,-2.584003021,-3.02910319,-2.504191419,1
Q8IYT2,CMTR2,CMTR2_HUMAN,cytoplasm [GO:0005737]; nucleus [GO:0005634]; mRNA (nucleoside-2'-O-)-methyltransferase activity [GO:0004483]; 7-methylguanosine mRNA capping [GO:0006370]; cap2 mRNA methylation [GO:0097310],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21310715}. Cytoplasm {ECO:0000269|PubMed:21310715}.,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 (EC 2.1.1.296) (Cap methyltransferase 2) (Cap2 2'O-ribose methyltransferase 2) (HMTr2) (MTr2) (FtsJ methyltransferase domain-containing protein 1) (Protein adrift homolog),GO:0004483; GO:0005634; GO:0005737; GO:0006370; GO:0097310,9.58E-05,0.160727071,0.000115788,0.570537511,0.474767045,0.644965665,0.570537511,-0.809606353,0.509777193,0.308534811,7.280768873,0.001398967,0.023277717,-3.947378379,88120,1.633059621,3,0,0,0.000115788,0.570537511,4927.412207,12.26661445,-0.809606353,-1.074708298,-0.632705734,1
Q7L523,RRAGA,RRAGA_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; EGO complex [GO:0034448]; Gtr1-Gtr2 GTPase complex [GO:1990131]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; nucleus [GO:0005634]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; phosphoprotein binding [GO:0051219]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; ubiquitin protein ligase binding [GO:0031625]; apoptotic process [GO:0006915]; cell cycle arrest [GO:0007050]; cell death [GO:0008219]; cellular protein localization [GO:0034613]; cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; modulation by virus of host morphology or physiology [GO:0019048]; negative regulation of autophagy [GO:0010507]; positive regulation of cytolysis [GO:0045919]; positive regulation of TOR signaling [GO:0032008]; positive regulation of TORC1 signaling [GO:1904263]; protein ubiquitination [GO:0016567]; regulation of macroautophagy [GO:0016241],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8995684, ECO:0000269|PubMed:9394008}. Nucleus {ECO:0000269|PubMed:8995684, ECO:0000269|PubMed:9394008}. Lysosome {ECO:0000269|PubMed:20381137}. Note=Predominantly cytoplasmic. May shuttle between the cytoplasm and nucleus, depending on the bound nucleotide state (PubMed:8995684, PubMed:9394008). Colocalizes in vivo with adenovirus E3-14.7K mainly to the cytoplasm especially near the nuclear membrane and in discrete foci on or near the plasma membrane (PubMed:8995684). {ECO:0000269|PubMed:20381137, ECO:0000269|PubMed:8995684, ECO:0000269|PubMed:9394008}.",Ras-related GTP-binding protein A (Rag A) (RagA) (Adenovirus E3 14.7 kDa-interacting protein 1) (FIP-1),GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005764; GO:0005765; GO:0005829; GO:0006915; GO:0007050; GO:0008219; GO:0010507; GO:0016241; GO:0016567; GO:0019048; GO:0031625; GO:0032008; GO:0034198; GO:0034448; GO:0034613; GO:0042803; GO:0045919; GO:0046982; GO:0051219; GO:0071230; GO:1904263; GO:1990131,1.00E-07,1.00E-07,1.00E-07,0.029134344,0.047219122,0.034649785,0.034649785,-4.851009807,0.037000984,0.018500592,7.18424699,0.00147648,0.024056784,-4.012945446,36566,1.618762436,3,3,0,1.00E-07,0.034649785,346497.8458,18.40248686,-5.101135362,-4.404484966,-4.851009807,1
Q9NUM4,TMEM106B,T106B_HUMAN,endosome [GO:0005768]; integral component of membrane [GO:0016021]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; dendrite morphogenesis [GO:0048813]; lysosomal transport [GO:0007041]; lysosome localization [GO:0032418]; lysosome organization [GO:0007040]; positive regulation of dendrite development [GO:1900006],SUBCELLULAR LOCATION: Late endosome membrane; Single-pass type II membrane protein. Lysosome membrane; Single-pass type II membrane protein. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.,Transmembrane protein 106B,GO:0005764; GO:0005765; GO:0005768; GO:0007040; GO:0007041; GO:0016021; GO:0031902; GO:0032418; GO:0048813; GO:1900006,0.026116665,0.049471929,0.05189482,0.293183163,0.239182853,0.196478817,0.239182853,-2.063814127,0.200453806,0.142721374,7.142611953,0.001511523,0.024229658,-4.041458416,31127,1.615652709,4,0,0,0.049471929,0.239182853,4.834718512,2.273431895,-1.770125839,-2.063814127,-2.347554319,1
Q08629,SPOCK1,TICN1_HUMAN,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; neuromuscular junction [GO:0031594]; node of Ranvier [GO:0033268]; postsynaptic density [GO:0014069]; sarcoplasm [GO:0016528]; calcium ion binding [GO:0005509]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; metalloendopeptidase inhibitor activity [GO:0008191]; serine-type endopeptidase inhibitor activity [GO:0004867]; cell adhesion [GO:0007155]; central nervous system neuron differentiation [GO:0021953]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of neuron projection development [GO:0010977]; nervous system development [GO:0007399]; neurogenesis [GO:0022008]; neuron migration [GO:0001764]; regulation of cell growth [GO:0001558]; signal transduction [GO:0007165],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.",Testican-1 (Protein SPOCK),GO:0001558; GO:0001764; GO:0004867; GO:0004869; GO:0005509; GO:0005615; GO:0005737; GO:0007155; GO:0007165; GO:0007399; GO:0008191; GO:0010812; GO:0010951; GO:0010977; GO:0014069; GO:0016528; GO:0021953; GO:0022008; GO:0031594; GO:0033268,0.000111628,8.35E-05,0.023292992,0.191897939,0.306586415,0.230312767,0.230312767,-2.118333711,0.235103004,0.125380872,7.064796295,0.001579769,0.024858133,-4.09512698,49124,1.604531492,6,0,0,0.000111628,0.230312767,2063.214312,11.01067797,-2.381588875,-1.705634325,-2.118333711,1
Q9Y6X3,MAU2,SCC4_HUMAN,chromatin [GO:0000785]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Scc2-Scc4 cohesin loading complex [GO:0090694]; SMC loading complex [GO:0032116]; double-stranded DNA binding [GO:0003690]; protein N-terminus binding [GO:0047485]; cell division [GO:0051301]; cohesin loading [GO:0071921]; maintenance of mitotic sister chromatid cohesion [GO:0034088],"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:16682347, ECO:0000269|PubMed:16802858}. Nucleus {ECO:0000269|PubMed:28167679}. Chromosome {ECO:0000250|UniProtKB:Q9D2X5}. Note=Binds to chromatin from the end of mitosis until prophase.",MAU2 chromatid cohesion factor homolog (MAU-2) (Cohesin loading complex subunit SCC4 homolog),GO:0000785; GO:0003690; GO:0005634; GO:0005654; GO:0016604; GO:0032116; GO:0034088; GO:0047485; GO:0051301; GO:0071921; GO:0090694,2.01E-05,1.69E-05,1.87E-06,0.023605157,0.040156869,0.035150129,0.035150129,-4.830326213,0.032957766,0.016491835,6.987510413,0.001651293,0.025377137,-4.148924405,69082,1.595557383,7,0,0,1.69E-05,0.035150129,2084.507832,11.02549108,-5.404754102,-4.6382094,-4.830326213,1
Q9NRF2,SH2B1,SH2B1_HUMAN,cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; signaling adaptor activity [GO:0035591]; blood coagulation [GO:0007596]; lamellipodium assembly [GO:0030032]; positive regulation of mitotic nuclear division [GO:0045840]; regulation of DNA biosynthetic process [GO:2000278]; signal transduction [GO:0007165],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000305}. Nucleus {ECO:0000250}. Note=Shuttles between the nucleus and the cytoplasm. {ECO:0000250}.,"SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B)",GO:0005634; GO:0005829; GO:0007165; GO:0007596; GO:0016020; GO:0030032; GO:0035591; GO:0045840; GO:2000278,0.000601641,0.003299465,0.000360501,0.073347115,0.065039067,0.043752207,0.065039067,-3.942549636,0.059292261,0.031066666,6.951186446,0.001686265,0.025638417,-4.174381377,79366,1.591108789,6,0,0,0.000601641,0.065039067,108.1028249,6.756260414,-3.76911597,-3.942549636,-4.514500412,1
Q9UI10,EIF2B4,EI2BD_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation initiation factor 2B complex [GO:0005851]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]; myelination [GO:0042552]; oligodendrocyte development [GO:0014003]; ovarian follicle development [GO:0001541]; regulation of translation [GO:0006417]; response to glucose [GO:0009749]; response to heat [GO:0009408]; response to peptide hormone [GO:0043434]; T cell receptor signaling pathway [GO:0050852]; translational initiation [GO:0006413],,Translation initiation factor eIF-2B subunit delta (eIF-2B GDP-GTP exchange factor subunit delta),GO:0001541; GO:0003743; GO:0005737; GO:0005829; GO:0005851; GO:0006413; GO:0006417; GO:0009408; GO:0009749; GO:0014003; GO:0031369; GO:0042552; GO:0043434; GO:0050852,1.00E-07,1.92E-05,1.00E-07,0.053565544,0.056550819,0.033211643,0.053565544,-4.222550914,0.04776953,0.023891237,6.768818711,0.001876078,0.027369195,-4.303892435,57557,1.562737978,16,2,0,1.00E-07,0.053565544,535655.4359,19.03094575,-4.222550914,-4.144308272,-4.912167088,1
Q96F63,CCDC97,CCD97_HUMAN,U2 snRNP [GO:0005686],,Coiled-coil domain-containing protein 97,GO:0005686,1.00E-07,1.00E-07,1.00E-07,0.085005059,0.094250232,0.053994103,0.085005059,-3.556307487,0.077749698,0.038874949,6.636164256,0.002030599,0.028778022,-4.399927499,38947,1.54093906,3,3,0,1.00E-07,0.085005059,850050.589,19.69718918,-3.556307487,-3.407360026,-4.211054336,1
P48664,SLC1A6,EAA4_HUMAN,Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; intermediate filament cytoskeleton [GO:0045111]; membrane [GO:0016020]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; high-affinity glutamate transmembrane transporter activity [GO:0005314]; L-aspartate transmembrane transporter activity [GO:0015183]; metal ion binding [GO:0046872]; aspartate transmembrane transport [GO:0015810]; chemical synaptic transmission [GO:0007268]; glutamate secretion [GO:0014047]; ion transport [GO:0006811]; L-glutamate import across plasma membrane [GO:0098712]; L-glutamate transmembrane transport [GO:0015813]; regulation of membrane potential [GO:0042391],SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:7791878}; Multi-pass membrane protein {ECO:0000305}.,Excitatory amino acid transporter 4 (Sodium-dependent glutamate/aspartate transporter) (Solute carrier family 1 member 6),GO:0005314; GO:0005794; GO:0005886; GO:0005887; GO:0006811; GO:0007268; GO:0014047; GO:0015171; GO:0015183; GO:0015810; GO:0015813; GO:0016020; GO:0042391; GO:0045111; GO:0046872; GO:0098712,1.00E-07,0.000834455,1.00E-07,0.263192055,0.163745725,0.175143387,0.175143387,-2.513391577,0.200415504,0.10048597,6.627306205,0.002041457,0.028788914,-4.406396405,61565,1.540774721,4,2,0,1.00E-07,0.175143387,1751433.871,20.74010509,-1.925812156,-2.610470851,-2.513391577,1
O95639,CPSF4,CPSF4_HUMAN,"intracellular membrane-bounded organelle [GO:0043231]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleoplasm [GO:0005654]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; modification by virus of host mRNA processing [GO:0046778]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA polyadenylation [GO:0006378]; mRNA splicing, via spliceosome [GO:0000398]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; termination of RNA polymerase II transcription [GO:0006369]",SUBCELLULAR LOCATION: Nucleus.,Cleavage and polyadenylation specificity factor subunit 4 (Cleavage and polyadenylation specificity factor 30 kDa subunit) (CPSF 30 kDa subunit) (NS1 effector domain-binding protein 1) (Neb-1) (No arches homolog),GO:0000398; GO:0003723; GO:0004521; GO:0005654; GO:0005847; GO:0006369; GO:0006378; GO:0006406; GO:0008270; GO:0031124; GO:0043231; GO:0046778; GO:0098789,0.024643047,0.031044754,0.027813861,0.098618149,0.083241376,0.06840327,0.083241376,-3.586555372,0.055587045,0.05562741,6.477884364,0.002235684,0.030328777,-4.516598322,30255,1.518145106,7,0,0,0.027813861,0.083241376,2.992801925,1.581496799,-3.342003008,-3.586555372,-3.869790888,1
P21281,ATP6V1B2,VATB2_HUMAN,"cytosol [GO:0005829]; endomembrane system [GO:0012505]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; microvillus [GO:0005902]; myelin sheath [GO:0043209]; plasma membrane [GO:0005886]; proton-transporting V-type ATPase, V1 domain [GO:0033180]; ruffle [GO:0001726]; ATP binding [GO:0005524]; proton transmembrane transporter activity [GO:0015078]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; ATP hydrolysis coupled proton transport [GO:0015991]; ATP metabolic process [GO:0046034]; insulin receptor signaling pathway [GO:0008286]; ion transmembrane transport [GO:0034220]; proton transmembrane transport [GO:1902600]; regulation of macroautophagy [GO:0016241]; transferrin transport [GO:0033572]",SUBCELLULAR LOCATION: Endomembrane system; Peripheral membrane protein. Melanosome. Note=Endomembrane. Identified by mass spectrometry in melanosome fractions from stage I to stage IV.,"V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)",GO:0001726; GO:0005524; GO:0005765; GO:0005829; GO:0005886; GO:0005902; GO:0008286; GO:0012505; GO:0015078; GO:0015991; GO:0016021; GO:0016241; GO:0033180; GO:0033572; GO:0034220; GO:0042470; GO:0043209; GO:0043231; GO:0046034; GO:0046961; GO:0070062; GO:1902600,1.00E-07,1.00E-07,1.00E-07,0.031135052,0.025105993,0.017438623,0.025105993,-5.315824389,0.024559789,0.012279995,6.438545629,0.002290498,0.03097419,-4.545955862,56501,1.50900004,12,3,0,1.00E-07,0.025105993,251059.9323,17.93767228,-5.005316502,-5.315824389,-5.841570069,1
A4D1P6,WDR91,WDR91_HUMAN,cytosol [GO:0005829]; early endosome membrane [GO:0031901]; extrinsic component of endosome membrane [GO:0031313]; late endosome membrane [GO:0031902]; phosphatidylinositol 3-kinase regulator activity [GO:0035014]; early endosome to late endosome transport [GO:0045022]; regulation of cellular protein catabolic process [GO:1903362]; regulation of phosphatidylinositol 3-kinase activity [GO:0043551],"SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000269|PubMed:26783301}; Peripheral membrane protein {ECO:0000269|PubMed:26783301}. Late endosome membrane {ECO:0000269|PubMed:26783301, ECO:0000269|PubMed:28404643}.",WD repeat-containing protein 91,GO:0005829; GO:0031313; GO:0031901; GO:0031902; GO:0035014; GO:0043551; GO:0045022; GO:1903362,0.005294582,0.014430289,0.009011716,0.030747398,0.040647118,0.032475767,0.032475767,-4.944492579,0.025044565,0.022101145,6.434195276,0.002296659,0.030985924,-4.549211362,83344,1.508835555,15,0,0,0.009011716,0.032475767,3.603727203,1.849489805,-5.023391866,-4.620703137,-4.944492579,1
O43865,AHCYL1,SAHH2_HUMAN,apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; angiotensin-activated signaling pathway [GO:0038166]; epithelial fluid transport [GO:0042045]; mRNA polyadenylation [GO:0006378]; one-carbon metabolic process [GO:0006730]; positive regulation of sodium ion transport [GO:0010765]; protein export from nucleus [GO:0006611]; regulation of anion transport [GO:0044070]; regulation of cardiac conduction [GO:1903779]; regulation of ion transmembrane transporter activity [GO:0032412]; regulation of mRNA 3'-end processing [GO:0031440]; response to calcium ion [GO:0051592]; S-adenosylmethionine cycle [GO:0033353],"SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q80SW1}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q80SW1}. Microsome {ECO:0000250|UniProtKB:Q80SW1}. Apical cell membrane {ECO:0000250|UniProtKB:B5DFN2}. Note=Associates with membranes when phosphorylated, probably through interaction with ITPR1. {ECO:0000250|UniProtKB:Q80SW1}.",S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2),GO:0003723; GO:0005737; GO:0005789; GO:0005829; GO:0006378; GO:0006611; GO:0006730; GO:0010765; GO:0016324; GO:0031440; GO:0032412; GO:0033353; GO:0038166; GO:0042045; GO:0042802; GO:0044070; GO:0051592; GO:0070062; GO:1903779,0.005524534,4.93E-05,7.24E-05,0.03773068,0.033330796,0.02271165,0.033330796,-4.907000416,0.029375625,0.016569896,6.33831178,0.002437696,0.032351442,-4.621420316,58951,1.49010635,7,0,0,7.24E-05,0.033330796,460.2325831,8.846219315,-4.728118082,-4.907000416,-5.460423654,1
O43924,PDE6D,PDE6D_HUMAN,"cilium [GO:0005929]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; GTPase inhibitor activity [GO:0005095]; Rab GTPase binding [GO:0017137]; response to stimulus [GO:0050896]; visual perception [GO:0007601]","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:22002721, ECO:0000269|PubMed:23698361, ECO:0000269|PubMed:9712853}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:9712853}; Peripheral membrane protein {ECO:0000269|PubMed:9712853}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:24166846}.","Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta (GMP-PDE delta) (Protein p17)",GO:0004114; GO:0005095; GO:0005829; GO:0005856; GO:0005929; GO:0007601; GO:0017137; GO:0030659; GO:0031410; GO:0050896,1.88E-06,1.00E-07,0.002180566,0.122409044,0.123106735,0.070689311,0.122409044,-3.030217944,0.104674181,0.053064606,6.260794054,0.002559446,0.03339765,-4.680444837,17420,1.476284088,3,1,0,1.88E-06,0.122409044,65107.96195,15.99054636,-3.030217944,-3.0220184,-3.822364108,1
Q9H0S4,DDX47,DDX47_HUMAN,cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; mRNA processing [GO:0006397]; RNA secondary structure unwinding [GO:0010501]; RNA splicing [GO:0008380]; rRNA processing [GO:0006364],"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:16963496}. Note=Localizes in the nucleolar-organizing region during ribosome biogenesis.",Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47),GO:0003723; GO:0004004; GO:0005524; GO:0005654; GO:0005730; GO:0005737; GO:0006364; GO:0006397; GO:0008380; GO:0008625; GO:0010501; GO:0016020,2.72E-05,1.00E-07,1.00E-07,0.044664726,0.030373837,0.026127144,0.030373837,-5.041027033,0.033712754,0.016865525,6.247299105,0.002581387,0.033581573,-4.690780218,50647,1.473898967,7,2,0,1.00E-07,0.030373837,303738.3673,18.21246963,-4.484720265,-5.041027033,-5.258306776,1
Q9BQA1,WDR77,MEP50_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ligand-dependent nuclear receptor transcription coactivator activity [GO:0030374]; methyl-CpG binding [GO:0008327]; protein-arginine N-methyltransferase activity [GO:0016274]; negative regulation of epithelial cell proliferation involved in prostate gland development [GO:0060770]; positive regulation of cell proliferation [GO:0008284]; regulation of transcription by RNA polymerase II [GO:0006357]; secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development [GO:0060528],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17437848, ECO:0000269|PubMed:21081503}. Cytoplasm {ECO:0000269|PubMed:17437848, ECO:0000269|PubMed:21081503}. Note=Nuclear in Leydig cells and cytoplasmic in germ cells during fetal testicular development. In adult testis, predominantly nuclear. Subcellular location varies from nuclear to cytoplasmic in various tumors (PubMed:17437848). {ECO:0000269|PubMed:17437848}.",Methylosome protein 50 (MEP-50) (Androgen receptor cofactor p44) (WD repeat-containing protein 77) (p44/Mep50),GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006357; GO:0008284; GO:0008327; GO:0016274; GO:0030374; GO:0034709; GO:0060528; GO:0060770,1.00E-07,0.000983542,1.00E-07,0.022759769,0.037209012,0.024093623,0.024093623,-5.375204867,0.027692887,0.014174358,6.225531618,0.002617261,0.033893723,-4.707489024,36724,1.46988073,6,2,0,1.00E-07,0.024093623,240936.2254,17.8782918,-5.457370276,-4.748204105,-5.375204867,1
Q15742,NAB2,NAB2_HUMAN,"nucleus [GO:0005634]; identical protein binding [GO:0042802]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; cell proliferation [GO:0008283]; endochondral ossification [GO:0001958]; myelination [GO:0042552]; negative regulation of transcription by RNA polymerase III [GO:0016480]; nervous system development [GO:0007399]; positive regulation of tau-protein kinase activity [GO:1902949]; regulation of epidermis development [GO:0045682]; Schwann cell differentiation [GO:0014037]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Isoform 2 is not localized to the nucleus. {ECO:0000250}.,NGFI-A-binding protein 2 (EGR-1-binding protein 2) (Melanoma-associated delayed early response protein) (Protein MADER),GO:0001958; GO:0003714; GO:0005634; GO:0006351; GO:0007399; GO:0008134; GO:0008283; GO:0014037; GO:0016480; GO:0042552; GO:0042802; GO:0045682; GO:1902949,0.043802334,0.041485395,0.056178354,0.195399541,0.268301431,0.178527853,0.195399541,-2.355501017,0.166920914,0.130615818,6.211921605,0.002639997,0.034033696,-4.717959874,56594,1.468090881,3,0,0,0.043802334,0.195399541,4.460938985,2.157347416,-2.355501017,-1.898073345,-2.485778922,1
Q8NI60,COQ8A,COQ8A_HUMAN,integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphorylation [GO:0016310]; ubiquinone biosynthetic process [GO:0006744],"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11888884, ECO:0000269|PubMed:25498144}. Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255, ECO:0000305|PubMed:25216398}.","Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",GO:0005524; GO:0005739; GO:0006744; GO:0016021; GO:0016301; GO:0016310; GO:0043531,1.00E-07,1.00E-07,1.00E-07,0.109156103,0.06490531,0.070502883,0.070502883,-3.826173936,0.081521332,0.040760766,6.08905255,0.002856467,0.035539763,-4.813325826,71950,1.449285478,8,3,0,1.00E-07,0.070502883,705028.83,19.42732273,-3.195535304,-3.945519688,-3.826173936,1
