PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2,lamp
Q9ULB1,NRXN1,NRX1A_HUMAN,"cell junction [GO:0030054]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; protein-containing complex [GO:0032991]; vesicle [GO:0031982]; acetylcholine receptor binding [GO:0033130]; calcium channel regulator activity [GO:0005246]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; neuroligin family protein binding [GO:0097109]; signaling receptor activity [GO:0038023]; adult behavior [GO:0030534]; axon guidance [GO:0007411]; chemical synaptic transmission [GO:0007268]; gephyrin clustering involved in postsynaptic density assembly [GO:0097116]; learning [GO:0007612]; neuroligin clustering involved in postsynaptic membrane assembly [GO:0097118]; neuromuscular process controlling balance [GO:0050885]; neuron cell-cell adhesion [GO:0007158]; neurotransmitter secretion [GO:0007269]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synapse maturation [GO:0090129]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; postsynaptic density protein 95 clustering [GO:0097119]; postsynaptic membrane assembly [GO:0097104]; prepulse inhibition [GO:0060134]; regulation of grooming behavior [GO:2000821]; regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061178]; social behavior [GO:0035176]; synapse assembly [GO:0007416]; synaptic membrane adhesion [GO:0099560]; vocal learning [GO:0042297]; vocalization behavior [GO:0071625]","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell junction, synapse {ECO:0000305}. Note=Localized on the pre-synaptic membrane. {ECO:0000250}.",Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha),GO:0005246; GO:0005509; GO:0005730; GO:0005783; GO:0005886; GO:0005887; GO:0007158; GO:0007268; GO:0007269; GO:0007411; GO:0007416; GO:0007612; GO:0009986; GO:0030054; GO:0030534; GO:0031965; GO:0031982; GO:0032991; GO:0033130; GO:0035176; GO:0038023; GO:0042297; GO:0042734; GO:0043025; GO:0050839; GO:0050885; GO:0051965; GO:0051968; GO:0060134; GO:0061178; GO:0071625; GO:0090129; GO:0097104; GO:0097109; GO:0097116; GO:0097118; GO:0097119; GO:0099560; GO:2000463; GO:2000821,0.000109436,0.016810316,0.000120973,0.106541013,0.089683028,0.073462751,0.089683028,-3.479021204,0.084215355,0.04778792,7.917239523,0.000995112,0.019315545,-3.532745255,161883,1.714093043,14,0,0,0.000120973,0.089683028,741.348865,9.534008798,-3.230519195,-3.479021204,-3.766843262,1
Q12926,ELAVL2,ELAV2_HUMAN,"nucleoplasm [GO:0005654]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription, DNA-templated [GO:0006355]",,ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Hel-N1),GO:0000398; GO:0003723; GO:0003730; GO:0005654; GO:0006355,1.00E-07,1.00E-07,1.00E-07,0.118762703,0.162748301,0.106208975,0.118762703,-3.073846266,0.129239893,0.064620046,7.834272239,0.001038833,0.019673472,-3.585126907,39504,1.706118978,5,3,0,1.00E-07,0.118762703,1187627.026,20.1796504,-3.073846266,-2.619285611,-3.235022409,1
Q5SQI0,ATAT1,ATAT_HUMAN,"axon [GO:0030424]; clathrin-coated pit [GO:0005905]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; microtubule bundle [GO:0097427]; mitotic spindle [GO:0072686]; coenzyme binding [GO:0050662]; lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]; tubulin N-acetyltransferase activity [GO:0019799]; alpha-tubulin acetylation [GO:0071929]; cilium assembly [GO:0060271]; dentate gyrus development [GO:0021542]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; regulation of fat cell differentiation [GO:0045598]; regulation of microtubule cytoskeleton organization [GO:0070507]; spermatogenesis [GO:0007283]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03130, ECO:0000269|PubMed:24097348}. Membrane, clathrin-coated pit {ECO:0000255|HAMAP-Rule:MF_03130, ECO:0000269|PubMed:24097348}. Cell junction, focal adhesion {ECO:0000255|HAMAP-Rule:MF_03130, ECO:0000269|PubMed:24097348}. Cell projection, axon {ECO:0000255|HAMAP-Rule:MF_03130}. Cytoplasm, cytoskeleton {ECO:0000255|HAMAP-Rule:MF_03130}. Cytoplasm, cytoskeleton, spindle {ECO:0000255|HAMAP-Rule:MF_03130}.",Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog),GO:0004468; GO:0005794; GO:0005829; GO:0005874; GO:0005905; GO:0005925; GO:0007283; GO:0019799; GO:0021542; GO:0030424; GO:0045598; GO:0050662; GO:0060271; GO:0070507; GO:0071929; GO:0072686; GO:0097427; GO:1900227,0.00046561,1.00E-07,1.00E-07,0.017780397,0.01708521,0.0112225,0.01708521,-5.87110823,0.015207433,0.007758986,7.574064214,0.001191993,0.021755782,-3.752588166,46810,1.6624253,15,2,0,1.00E-07,0.01708521,170852.0976,17.38238843,-5.813568631,-5.87110823,-6.47746206,1
Q7Z5N4,SDK1,SDK1_HUMAN,cell junction [GO:0030054]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; synapse [GO:0045202]; identical protein binding [GO:0042802]; behavioral response to cocaine [GO:0048148]; cell-cell junction organization [GO:0045216]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; regulation of dendritic spine development [GO:0060998]; retina layer formation [GO:0010842]; synapse assembly [GO:0007416],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8AV58}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q8AV58}. Cell junction, synapse {ECO:0000250|UniProtKB:Q8AV58}.",Protein sidekick-1,GO:0005886; GO:0007156; GO:0007416; GO:0010842; GO:0016021; GO:0030054; GO:0042802; GO:0045202; GO:0045216; GO:0048148; GO:0060998,3.97E-05,4.36E-05,4.38E-05,0.078364573,0.127350822,0.102337643,0.102337643,-3.28859119,0.102641972,0.051363359,7.541562255,0.001213002,0.021960323,-3.773852691,242112,1.658361276,8,0,0,4.36E-05,0.102337643,2349.044286,11.1978582,-3.673654606,-2.973119828,-3.28859119,1
Q9BTC8,MTA3,MTA3_HUMAN,"cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; histone deacetylase activity [GO:0004407]; protein-containing complex binding [GO:0044877]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell proliferation [GO:0008284]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624, ECO:0000269|PubMed:12705869}.",Metastasis-associated protein MTA3,GO:0000981; GO:0003682; GO:0004407; GO:0005634; GO:0005654; GO:0005737; GO:0008270; GO:0008284; GO:0010971; GO:0043231; GO:0043565; GO:0044877; GO:0045892,0.004885753,0.015633444,0.002540867,0.085180486,0.081341738,0.058413134,0.081341738,-3.619860368,0.067291765,0.04133257,7.536469996,0.001216334,0.021960323,-3.777191452,67504,1.658361276,3,0,0,0.004885753,0.081341738,16.64876281,4.057343068,-3.553333225,-3.619860368,-4.097563399,1
P06576,ATP5F1B,ATPB_HUMAN,"cell surface [GO:0009986]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; angiostatin binding [GO:0043532]; ATP binding [GO:0005524]; MHC class I protein binding [GO:0042288]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; transmembrane transporter activity [GO:0022857]; transporter activity [GO:0005215]; angiogenesis [GO:0001525]; ATP biosynthetic process [GO:0006754]; cristae formation [GO:0042407]; generation of precursor metabolites and energy [GO:0006091]; lipid metabolic process [GO:0006629]; mitochondrial ATP synthesis coupled proton transport [GO:0042776]; mitochondrion organization [GO:0007005]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; osteoblast differentiation [GO:0001649]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]",SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00829}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00829}; Matrix side {ECO:0000250|UniProtKB:P00829}.,"ATP synthase subunit beta, mitochondrial (EC 3.6.3.14) (ATP synthase F1 subunit beta)",GO:0001525; GO:0001649; GO:0005215; GO:0005524; GO:0005634; GO:0005739; GO:0005753; GO:0005754; GO:0005759; GO:0005886; GO:0006091; GO:0006629; GO:0006754; GO:0006933; GO:0007005; GO:0009986; GO:0016020; GO:0022857; GO:0031966; GO:0042288; GO:0042407; GO:0042645; GO:0042776; GO:0043209; GO:0043532; GO:0043536; GO:0045259; GO:0046933; GO:0046961; GO:0051453; GO:0070062; GO:1902600,1.00E-07,1.00E-07,1.00E-07,0.024340123,0.024609061,0.015554733,0.024340123,-5.360519746,0.021501206,0.010750703,7.510311231,0.001233628,0.022070122,-3.794373149,56560,1.656195265,21,3,0,1.00E-07,0.024340123,243401.2275,17.89297692,-5.360519746,-5.344666577,-6.006502535,1
O43913,ORC5,ORC5_HUMAN,"cytosol [GO:0005829]; nuclear chromosome, telomeric region [GO:0000784]; nuclear origin of replication recognition complex [GO:0005664]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; origin recognition complex [GO:0000808]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; G1/S transition of mitotic cell cycle [GO:0000082]",SUBCELLULAR LOCATION: Nucleus.,Origin recognition complex subunit 5,GO:0000082; GO:0000166; GO:0000784; GO:0000808; GO:0003688; GO:0005524; GO:0005634; GO:0005654; GO:0005664; GO:0005829; GO:0006260; GO:0006270,0.000257429,0.036445425,0.000390507,0.126625144,0.175881615,0.142160265,0.142160265,-2.81440982,0.135857888,0.080293398,7.478307945,0.001255195,0.022070122,-3.815463623,50283,1.656195265,3,0,0,0.000390507,0.142160265,364.040539,8.507955306,-2.981364183,-2.507323409,-2.81440982,1
Q9UI36,DACH1,DACH1_HUMAN,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; DNA binding [GO:0003677]; transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly [GO:0001075]; transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001078]; cell proliferation [GO:0008283]; development of primary female sexual characteristics [GO:0046545]; multicellular organism development [GO:0007275]; negative regulation of cell migration [GO:0030336]; negative regulation of cell proliferation involved in contact inhibition [GO:0060244]; negative regulation of DNA biosynthetic process [GO:2000279]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of transcription by competitive promoter binding [GO:0010944]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of nuclear cell cycle DNA replication [GO:0033262]; respiratory gaseous exchange [GO:0007585]; suckling behavior [GO:0001967]",SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14525983}.,Dachshund homolog 1 (Dach1),GO:0001075; GO:0001078; GO:0001967; GO:0003677; GO:0005634; GO:0005667; GO:0005737; GO:0007275; GO:0007585; GO:0008283; GO:0010944; GO:0030336; GO:0033262; GO:0045892; GO:0046545; GO:0048147; GO:0060244; GO:2000279,0.000317389,0.000670601,0.002701842,0.218253968,0.199943808,0.134455894,0.199943808,-2.322333491,0.182987946,0.092723917,7.472039257,0.001259473,0.022070122,-3.819603806,78676,1.656195265,8,0,0,0.000670601,0.199943808,298.1560406,8.219923756,-2.19592021,-2.322333491,-2.894795093,1
Q8ND83,SLAIN1,SLAI1_HUMAN,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:21646404}. Note=Colocalizes with microtubules. Detected at the plus end of growing microtubules. {ECO:0000269|PubMed:21646404}.",SLAIN motif-containing protein 1,GO:0005737; GO:0005856,0.029262586,0.053977048,0.037606013,0.134712698,0.140901997,0.108577527,0.134712698,-2.892042252,0.087782192,0.084172978,7.427400555,0.001290455,0.022451818,-3.849171912,60595,1.648748484,6,0,0,0.037606013,0.134712698,3.582211626,1.84085057,-2.892042252,-2.827236033,-3.203202564,1
Q8N2K0,ABHD12,ABD12_HUMAN,AMPA glutamate receptor complex [GO:0032281]; dendrite cytoplasm [GO:0032839]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; acylglycerol lipase activity [GO:0047372]; lysophospholipase activity [GO:0004622]; palmitoyl-(protein) hydrolase activity [GO:0008474]; acylglycerol catabolic process [GO:0046464]; adult walking behavior [GO:0007628]; glycerophospholipid catabolic process [GO:0046475]; monoacylglycerol catabolic process [GO:0052651]; phosphatidylserine catabolic process [GO:0006660]; protein depalmitoylation [GO:0002084]; response to auditory stimulus [GO:0010996],SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q99LR1}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q99LR1}.,Monoacylglycerol lipase ABHD12 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 12),GO:0002084; GO:0004622; GO:0005886; GO:0006660; GO:0007628; GO:0008474; GO:0010996; GO:0016021; GO:0032281; GO:0032839; GO:0046464; GO:0046475; GO:0047372; GO:0052651,9.09E-05,0.000126123,0.000103653,0.045246162,0.049942538,0.030488254,0.045246162,-4.466060759,0.04178544,0.020999598,7.407810786,0.001304344,0.02250891,-3.862195928,45097,1.647645537,6,0,0,0.000103653,0.045246162,436.513866,8.769883672,-4.466060759,-4.323587042,-5.03560264,1
Q15262,PTPRK,PTPRK_HUMAN,"adherens junction [GO:0005912]; axon [GO:0030424]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; dendrite [GO:0030425]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; leading edge membrane [GO:0031256]; neuronal cell body [GO:0043025]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; beta-catenin binding [GO:0008013]; gamma-catenin binding [GO:0045295]; protein kinase binding [GO:0019901]; protein tyrosine phosphatase activity [GO:0004725]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cellular response to reactive oxygen species [GO:0034614]; cellular response to UV [GO:0034644]; focal adhesion assembly [GO:0048041]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell migration [GO:0030336]; negative regulation of cell proliferation [GO:0008285]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of transcription, DNA-templated [GO:0045892]; neuron projection development [GO:0031175]; protein dephosphorylation [GO:0006470]; protein localization to cell surface [GO:0034394]; signal transduction [GO:0007165]; transforming growth factor beta receptor signaling pathway [GO:0007179]","SUBCELLULAR LOCATION: Cell junction, adherens junction. Cell membrane; Single-pass type I membrane protein.",Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48),GO:0001750; GO:0004725; GO:0005001; GO:0005886; GO:0005887; GO:0005911; GO:0005912; GO:0006470; GO:0007155; GO:0007165; GO:0007179; GO:0008013; GO:0008285; GO:0009986; GO:0010839; GO:0016021; GO:0016477; GO:0019901; GO:0030054; GO:0030336; GO:0030424; GO:0030425; GO:0031175; GO:0031256; GO:0034394; GO:0034614; GO:0034644; GO:0043025; GO:0043231; GO:0045295; GO:0045786; GO:0045892; GO:0048041,4.39E-05,3.77E-05,4.47E-05,0.267372305,0.178892882,0.180095679,0.180095679,-2.473164525,0.208744875,0.104414518,7.40425532,0.001306884,0.02250891,-3.864562891,162102,1.647645537,5,0,0,4.39E-05,0.180095679,4103.367489,12.00259265,-1.903078058,-2.482832112,-2.473164525,1
O60231,DHX16,DHX16_HUMAN,"cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; ATPase activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20423332, ECO:0000269|PubMed:20841358, ECO:0000269|PubMed:25296192}. Nucleus, nucleoplasm {ECO:0000269|PubMed:20423332}.",Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (ATP-dependent RNA helicase #3) (DEAH-box protein 16),GO:0000398; GO:0003723; GO:0003724; GO:0004004; GO:0005524; GO:0005634; GO:0005654; GO:0005681; GO:0005737; GO:0008380; GO:0016887,4.29E-05,2.22E-05,0.00098944,0.106292351,0.091638812,0.064436383,0.091638812,-3.447897427,0.087104334,0.043903682,7.378478826,0.001325482,0.022783378,-3.881752023,119264,1.642381875,14,0,0,4.29E-05,0.091638812,2135.445072,11.06032107,-3.233890307,-3.447897427,-3.955980674,1
Q9UHG3,PCYOX1,PCYOX_HUMAN,extracellular exosome [GO:0070062]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]; very-low-density lipoprotein particle [GO:0034361]; chloride-transporting ATPase activity [GO:0008555]; prenylcysteine oxidase activity [GO:0001735]; prenylated protein catabolic process [GO:0030327]; prenylcysteine catabolic process [GO:0030328]; prenylcysteine metabolic process [GO:0030329],SUBCELLULAR LOCATION: Lysosome.,Prenylcysteine oxidase 1 (EC 1.8.3.5) (Prenylcysteine lyase),GO:0001735; GO:0005764; GO:0005774; GO:0005886; GO:0008555; GO:0030327; GO:0030328; GO:0030329; GO:0034361; GO:0070062,1.33E-05,8.40E-06,0.000283085,0.01637816,0.026665697,0.020600262,0.020600262,-5.601193535,0.021113106,0.010658153,7.343442526,0.001351279,0.022847407,-3.9051984,56640,1.641163082,22,0,0,1.33E-05,0.020600262,1547.122722,10.59537192,-5.932082932,-5.22887115,-5.601193535,1
Q96S59,RANBP9,RANB9_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule associated complex [GO:0005875]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; enzyme binding [GO:0019899]; Ran GTPase binding [GO:0008536]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; axon guidance [GO:0007411]; MAPK cascade [GO:0000165]; microtubule nucleation [GO:0007020]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; protein-containing complex assembly [GO:0065003],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14511641, ECO:0000269|PubMed:15381419, ECO:0000269|PubMed:15558019, ECO:0000269|PubMed:18222118}. Nucleus {ECO:0000269|PubMed:14511641, ECO:0000269|PubMed:15381419, ECO:0000269|PubMed:15558019, ECO:0000269|PubMed:18222118}. Cell membrane; Peripheral membrane protein {ECO:0000269|PubMed:14722085}. Note=The unphosphorylated form is predominantly cytoplasmic. A phosphorylated form is associated with the plasma membrane. {ECO:0000269|PubMed:14722085}.",Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7),GO:0000165; GO:0005088; GO:0005634; GO:0005737; GO:0005829; GO:0005875; GO:0005886; GO:0007020; GO:0007411; GO:0008536; GO:0019899; GO:0065003; GO:0070373,0.004592956,0.009212171,0.01533865,0.200282205,0.252535071,0.158049941,0.200282205,-2.319893852,0.193907813,0.106668499,7.325992469,0.001364355,0.022975393,-3.916911596,77847,1.638737045,6,0,0,0.009212171,0.200282205,21.74104261,4.442349223,-2.319893852,-1.985444337,-2.661547594,1
Q9UI30,TRMT112,TR112_HUMAN,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; protein heterodimerization activity [GO:0046982]; protein methyltransferase activity [GO:0008276]; peptidyl-glutamine methylation [GO:0018364]; positive regulation of rRNA processing [GO:2000234]; rRNA (guanine-N7)-methylation [GO:0070476]; tRNA methylation [GO:0030488],"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:25851604}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:25851604}. Note=Localizes to a polarized perinuclear structure, overlapping partially with the Golgi and lysosomes (PubMed:25851604). {ECO:0000269|PubMed:25851604}.",Multifunctional methyltransferase subunit TRM112-like protein (tRNA methyltransferase 112 homolog),GO:0005654; GO:0005829; GO:0008276; GO:0018364; GO:0030488; GO:0032991; GO:0046982; GO:0048471; GO:0070476; GO:2000234,1.00E-07,1.00E-07,1.00E-07,0.078699134,0.081621773,0.050374112,0.078699134,-3.667508424,0.070231573,0.035115887,7.32357751,0.001366177,0.022975393,-3.918534486,14199,1.638737045,6,3,0,1.00E-07,0.078699134,786991.3427,19.58598824,-3.667508424,-3.614902136,-4.311173686,1
Q9BRS2,RIOK1,RIOK1_HUMAN,"cytosol [GO:0005829]; methyltransferase complex [GO:0034708]; nucleoplasm [GO:0005654]; preribosome, small subunit precursor [GO:0030688]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; maturation of SSU-rRNA [GO:0030490]; positive regulation of rRNA processing [GO:2000234]; ribosomal small subunit biogenesis [GO:0042274]","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:21081503}.",Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1),GO:0004674; GO:0005524; GO:0005654; GO:0005829; GO:0016787; GO:0030490; GO:0030688; GO:0034708; GO:0042274; GO:0046872; GO:2000234,0.043631596,0.087193414,0.099998574,0.233227246,0.22445009,0.197733642,0.22445009,-2.155533423,0.141529131,0.14770576,7.307841881,0.00137812,0.0231136,-3.929120241,65583,1.636132401,6,0,0,0.087193414,0.22445009,2.574163336,1.364103599,-2.100191759,-2.155533423,-2.338369748,1
P00387,CYB5R3,NB5R3_HUMAN,"azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; hemoglobin complex [GO:0005833]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; ADP binding [GO:0043531]; AMP binding [GO:0016208]; cytochrome-b5 reductase activity, acting on NAD(P)H [GO:0004128]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; NAD binding [GO:0051287]; oxidoreductase activity [GO:0016491]; blood circulation [GO:0008015]; cholesterol biosynthetic process [GO:0006695]; L-ascorbic acid metabolic process [GO:0019852]; neutrophil degranulation [GO:0043312]",SUBCELLULAR LOCATION: Isoform 1: Endoplasmic reticulum membrane; Lipid-anchor; Cytoplasmic side. Mitochondrion outer membrane; Lipid-anchor; Cytoplasmic side.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm. Note=Produces the soluble form found in erythrocytes.,NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1) [Cleaved into: NADH-cytochrome b5 reductase 3 membrane-bound form; NADH-cytochrome b5 reductase 3 soluble form],GO:0004128; GO:0005576; GO:0005737; GO:0005739; GO:0005741; GO:0005783; GO:0005789; GO:0005811; GO:0005833; GO:0006695; GO:0008015; GO:0016020; GO:0016208; GO:0016491; GO:0019852; GO:0035578; GO:0043312; GO:0043531; GO:0050660; GO:0051287; GO:0071949,1.00E-07,0.004977296,1.00E-07,0.04957375,0.052934971,0.033443853,0.04957375,-4.334279786,0.043658359,0.023488345,7.269558434,0.001407711,0.023277717,-3.954955634,34235,1.633059621,8,2,0,1.00E-07,0.04957375,495737.503,18.91921688,-4.334279786,-4.239635055,-4.902115142,1
Q76I76,SSH2,SSH2_HUMAN,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular space [GO:0005615]; actin binding [GO:0003779]; phosphoprotein phosphatase activity [GO:0004721]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; actin cytoskeleton organization [GO:0030036]; protein dephosphorylation [GO:0006470]; regulation of actin polymerization or depolymerization [GO:0008064]; regulation of axonogenesis [GO:0050770]; regulation of lamellipodium assembly [GO:0010591],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",Protein phosphatase Slingshot homolog 2 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 2) (SSH-2L) (hSSH-2L),GO:0003779; GO:0004721; GO:0004725; GO:0005615; GO:0005737; GO:0005856; GO:0006470; GO:0008064; GO:0008138; GO:0010591; GO:0030036; GO:0050770,0.016632369,0.033209123,0.041101076,0.125329084,0.163552575,0.121476223,0.125329084,-2.996206853,0.106471771,0.083550075,7.258169541,0.001416663,0.023365386,-3.962663672,158216,1.631427035,9,0,0,0.033209123,0.125329084,3.773935381,1.916069721,-2.996206853,-2.612173619,-3.041254139,1
