PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
Q13490,BIRC2,BIRC2_HUMAN,"CD40 receptor complex [GO:0035631]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; membrane raft [GO:0045121]; nucleus [GO:0005634]; XY body [GO:0001741]; chaperone binding [GO:0051087]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; FBXO family protein binding [GO:0098770]; identical protein binding [GO:0042802]; protein N-terminus binding [GO:0047485]; transcription coactivator activity [GO:0003713]; transferase activity [GO:0016740]; ubiquitin binding [GO:0043130]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; cell surface receptor signaling pathway [GO:0007166]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inhibition of cysteine-type endopeptidase activity involved in apoptotic process [GO:1990001]; necroptotic process [GO:0070266]; negative regulation of apoptotic process [GO:0043066]; negative regulation of necroptotic process [GO:0060546]; negative regulation of ripoptosome assembly involved in necroptotic process [GO:1902443]; NIK/NF-kappaB signaling [GO:0038061]; placenta development [GO:0001890]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of protein K48-linked ubiquitination [GO:1902524]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein monoubiquitination [GO:1902527]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein heterooligomerization [GO:0051291]; protein polyubiquitination [GO:0000209]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell differentiation [GO:0045595]; regulation of cell proliferation [GO:0042127]; regulation of cysteine-type endopeptidase activity [GO:2000116]; regulation of inflammatory response [GO:0050727]; regulation of innate immune response [GO:0045088]; regulation of necroptotic process [GO:0060544]; regulation of NIK/NF-kappaB signaling [GO:1901222]; regulation of nucleotide-binding oligomerization domain containing signaling pathway [GO:0070424]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of RIG-I signaling pathway [GO:0039535]; regulation of toll-like receptor signaling pathway [GO:0034121]; regulation of transcription, DNA-templated [GO:0006355]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to cAMP [GO:0051591]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; transcription, DNA-templated [GO:0006351]; tumor necrosis factor-mediated signaling pathway [GO:0033209]","SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Agents that induce either the extrinsic or intrinsic apoptotic pathways promote its redistribution from the nuclear compartment to the cytoplasmic compartment. Associated with the midbody in telophase cells, and found diffusely in the nucleus of interphase cells.",Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),GO:0000209; GO:0001666; GO:0001741; GO:0001890; GO:0003713; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006351; GO:0006355; GO:0007166; GO:0007249; GO:0008270; GO:0009898; GO:0010803; GO:0016579; GO:0016740; GO:0033209; GO:0034121; GO:0035631; GO:0038061; GO:0039535; GO:0042127; GO:0042802; GO:0042981; GO:0043027; GO:0043066; GO:0043123; GO:0043130; GO:0043161; GO:0045088; GO:0045121; GO:0045471; GO:0045595; GO:0047485; GO:0050727; GO:0051087; GO:0051291; GO:0051591; GO:0051726; GO:0060544; GO:0060546; GO:0070266; GO:0070424; GO:0098770; GO:1901222; GO:1902443; GO:1902523; GO:1902524; GO:1902527; GO:1990001; GO:2000116; GO:2000377,0.007442295,0.003767502,0.021118709,0.075434543,0.073148035,0.07335901,0.07335901,-3.768882026,0.063204361,0.042378349,12.32318339,0.00015795,0.007308372,-1.282294638,69900,2.136179367,5,0,0,0.007442295,0.07335901,9.857041889,3.301154757,-3.728630868,-3.773037084,-3.768882026
O14735,CDIPT,CDIPT_HUMAN,endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; alcohol binding [GO:0043178]; carbohydrate binding [GO:0030246]; CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity [GO:0003881]; diacylglycerol binding [GO:0019992]; manganese ion binding [GO:0030145]; CDP-diacylglycerol metabolic process [GO:0046341]; phosphatidylinositol biosynthetic process [GO:0006661],SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Membrane {ECO:0000269|PubMed:8110188}.,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase),GO:0000139; GO:0003881; GO:0005789; GO:0005794; GO:0005886; GO:0006661; GO:0016020; GO:0016021; GO:0019992; GO:0030145; GO:0030246; GO:0043178; GO:0046341,8.96E-05,0.001349314,0.000240972,0.027287778,0.035301427,0.028559292,0.028559292,-5.129895996,0.029822864,0.0154714,12.30370029,0.000159007,0.007317757,-1.290476282,23539,2.135622044,6,0,0,0.000240972,0.028559292,118.5171541,6.888952079,-5.195601247,-4.824129692,-5.129895996
Q8WV44,TRIM41,TRI41_HUMAN,cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; identical protein binding [GO:0042802]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16022281}. Nucleus {ECO:0000269|PubMed:16022281}.,E3 ubiquitin-protein ligase TRIM41 (EC 2.3.2.27) (RING finger-interacting protein with C kinase) (RINCK) (RING-type E3 ubiquitin transferase TRIM41) (Tripartite motif-containing protein 41),GO:0005730; GO:0005737; GO:0008270; GO:0016567; GO:0016604; GO:0016740; GO:0042802,1.00E-07,8.80E-06,1.00E-07,0.131213204,0.120048735,0.097639532,0.120048735,-3.058307897,0.116297489,0.058151746,12.24164039,0.000162435,0.007334144,-1.316619257,71670,2.134650551,4,2,0,1.00E-07,0.120048735,1200487.347,20.19518877,-2.93001519,-3.058307897,-3.356390815
Q9ULH0,KIDINS220,KDIS_HUMAN,cytosol [GO:0005829]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; membrane [GO:0016020]; protein-containing complex [GO:0032991]; PDZ domain binding [GO:0030165]; protein kinase regulator activity [GO:0019887]; activation of MAPKK activity [GO:0000186]; cellular response to nerve growth factor stimulus [GO:1990090]; dendrite morphogenesis [GO:0048813]; in utero embryonic development [GO:0001701]; nerve growth factor signaling pathway [GO:0038180]; positive regulation of neuron projection development [GO:0010976]; regulation of protein kinase activity [GO:0045859],SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Late endosome {ECO:0000250}. Note=Localized at late endosome before or after nerve growth factor (NGF) stimulation.,Kinase D-interacting substrate of 220 kDa (Ankyrin repeat-rich membrane-spanning protein),GO:0000186; GO:0001701; GO:0005770; GO:0005829; GO:0010976; GO:0016020; GO:0016021; GO:0019887; GO:0030165; GO:0032991; GO:0038180; GO:0045859; GO:0048813; GO:1990090,1.00E-07,2.63E-05,1.00E-07,0.02079483,0.022908643,0.017029799,0.02079483,-5.587631302,0.020235597,0.010126626,12.22365261,0.000163445,0.007334144,-1.32422008,196542,2.134650551,35,2,0,1.00E-07,0.02079483,207948.2995,17.66586536,-5.587631302,-5.447964199,-5.875794758
Q9Y5A7,NUB1,NUB1_HUMAN,cytosol [GO:0005829]; nucleus [GO:0005634]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; post-translational protein modification [GO:0043687]; protein ubiquitination [GO:0016567]; response to interferon-gamma [GO:0034341]; response to tumor necrosis factor [GO:0034612]; ubiquitin-dependent protein catabolic process [GO:0006511],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11259415}. Note=Predominantly nuclear.,NEDD8 ultimate buster 1 (Negative regulator of ubiquitin-like proteins 1) (Renal carcinoma antigen NY-REN-18),GO:0005634; GO:0005829; GO:0006511; GO:0016567; GO:0032436; GO:0034341; GO:0034612; GO:0043687,2.62E-07,5.89E-06,2.57E-05,0.241115633,0.324663587,0.294305296,0.294305296,-1.764614591,0.286684229,0.143352724,12.2004025,0.000164763,0.007334144,-1.33406018,70538,2.134650551,10,0,0,5.89E-06,0.294305296,50004.66486,15.60977507,-2.052202902,-1.62298251,-1.764614591
Q9H3P7,ACBD3,GCP60_HUMAN,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; mitochondrion [GO:0005739]; fatty-acyl-CoA binding [GO:0000062]; protein kinase A regulatory subunit binding [GO:0034237]; steroid biosynthetic process [GO:0006694],SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:27009356}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Mitochondrion {ECO:0000250}. Note=Also mitochondrial (via its interaction with PBR). {ECO:0000250}.,"Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]",GO:0000062; GO:0000139; GO:0005739; GO:0005794; GO:0006694; GO:0016020; GO:0034237,1.00E-07,1.00E-07,1.00E-07,0.028894706,0.026197102,0.034861674,0.028894706,-5.113050998,0.029984394,0.014992297,12.16812418,0.000166613,0.007334144,-1.347750662,60593,2.134650551,10,3,0,1.00E-07,0.028894706,288947.0603,18.14044567,-5.113050998,-5.254448979,-4.842214325
P51116,FXR2,FXR2_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]; nucleus [GO:0005634]; polysome [GO:0005844]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; negative regulation of translation [GO:0017148],SUBCELLULAR LOCATION: Cytoplasm.,Fragile X mental retardation syndrome-related protein 2,GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0005829; GO:0005844; GO:0016020; GO:0017148; GO:0022625; GO:0042802; GO:0042803; GO:0046982,0.000911678,0.002329509,0.000693094,0.126616483,0.137763264,0.102730882,0.126616483,-2.981462862,0.121058783,0.061840818,12.15812246,0.000167192,0.007334144,-1.351999731,74223,2.134650551,11,0,0,0.000911678,0.126616483,138.8829179,7.117725354,-2.981462862,-2.85973687,-3.283058155
Q9NWQ8,PAG1,PHAG1_HUMAN,integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; SH2 domain binding [GO:0042169]; SH3/SH2 adaptor activity [GO:0005070]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068]; adaptive immune response [GO:0002250]; intracellular signal transduction [GO:0035556]; negative regulation of T cell activation [GO:0050868]; regulation of T cell activation [GO:0050863]; signal transduction [GO:0007165]; T cell receptor signaling pathway [GO:0050852]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10790433, ECO:0000269|PubMed:18070987}; Single-pass type III membrane protein {ECO:0000269|PubMed:10790433, ECO:0000269|PubMed:18070987}. Note=Present in lipid rafts.",Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 (Csk-binding protein) (Transmembrane adapter protein PAG) (Transmembrane phosphoprotein Cbp),GO:0002250; GO:0005068; GO:0005070; GO:0005622; GO:0005886; GO:0005887; GO:0007165; GO:0007169; GO:0035556; GO:0042169; GO:0045121; GO:0050852; GO:0050863; GO:0050868,1.00E-07,1.00E-07,0.016220471,0.128847372,0.102056002,0.118949701,0.118949701,-3.071576451,0.111210801,0.061012291,12.15325495,0.000167474,0.007334144,-1.354068806,46981,2.134650551,6,2,0,1.00E-07,0.118949701,1189497.008,20.18192021,-2.956264985,-3.292567061,-3.071576451
Q15417,CNN3,CNN3_HUMAN,actin cytoskeleton [GO:0015629]; cell-cell adherens junction [GO:0005913]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; focal adhesion [GO:0005925]; neuronal cell body [GO:0043025]; postsynaptic density [GO:0014069]; actin binding [GO:0003779]; cadherin binding involved in cell-cell adhesion [GO:0098641]; calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; actomyosin structure organization [GO:0031032]; epithelial cell differentiation [GO:0030855]; negative regulation of ATPase activity [GO:0032780],NA,"Calponin-3 (Calponin, acidic isoform)",GO:0003779; GO:0005516; GO:0005829; GO:0005913; GO:0005925; GO:0008017; GO:0014069; GO:0015629; GO:0030855; GO:0031032; GO:0032780; GO:0043025; GO:0043197; GO:0098641,1.00E-07,1.00E-07,1.00E-07,0.001071863,0.000903803,0.000881543,0.000903803,-10.11170358,0.000952303,0.000476251,12.08201462,0.000171676,0.007376895,-1.384441354,36414,2.132126426,7,3,0,1.00E-07,0.000903803,9038.032859,13.14179309,-9.865664062,-10.11170358,-10.14768177
Q9HCH0,NCKAP5L,NCK5L_HUMAN,centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule plus-end [GO:0035371]; microtubule bundle formation [GO:0001578]; microtubule depolymerization [GO:0007019],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:26549230}. Note=Localizes to microtubule plus ends (PubMed:26485573, PubMed:26482847). Associates with centrosomes during interphase, but dissociates from these structures from the onset of mitosis (PubMed:26549230). {ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:26549230}.",Nck-associated protein 5-like (NCKAP5-like) (Centrosomal protein of 169 kDa) (Cep169),GO:0001578; GO:0005737; GO:0005813; GO:0007019; GO:0035371,0.000147645,0.003837467,5.98E-05,0.122527061,0.115732668,0.151605986,0.122527061,-3.028827686,0.12860693,0.065651773,12.06967372,0.000172417,0.007376895,-1.389719917,139013,2.132126426,4,0,0,0.000147645,0.122527061,829.8739493,9.69674841,-3.028827686,-3.111131943,-2.721601374
Q86UN3,RTN4RL2,R4RL2_HUMAN,anchored component of plasma membrane [GO:0046658]; axon [GO:0030424]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; protein kinase inhibitor activity [GO:0004860]; signaling receptor activity [GO:0038023]; axon regeneration [GO:0031103]; cell surface receptor signaling pathway [GO:0007166]; corpus callosum development [GO:0022038]; cytokine-mediated signaling pathway [GO:0019221]; negative regulation of JAK-STAT cascade [GO:0046426]; negative regulation of neuron projection development [GO:0010977]; negative regulation of protein kinase activity [GO:0006469],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12694398, ECO:0000269|PubMed:12839991}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12694398}. Membrane raft {ECO:0000269|PubMed:12694398}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q7M6Z0}. Perikaryon {ECO:0000250|UniProtKB:Q80WD1}. Cell projection, axon {ECO:0000250|UniProtKB:Q80WD1}. Note=Localized to the surface of neurons, including axons. Detected close to synapses, but is excluded from synapses. {ECO:0000250|UniProtKB:Q7M6Z0}.",Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2),GO:0004860; GO:0005576; GO:0005737; GO:0005886; GO:0006469; GO:0007166; GO:0009897; GO:0009986; GO:0010977; GO:0019221; GO:0022038; GO:0030424; GO:0030425; GO:0031103; GO:0038023; GO:0043005; GO:0043204; GO:0045121; GO:0046426; GO:0046658; GO:0070062,0.000115574,3.48E-05,0.000227005,0.144913261,0.131336701,0.107275287,0.131336701,-2.928657974,0.127715941,0.063983779,12.05892699,0.000173065,0.007376895,-1.394320755,46106,2.132126426,9,0,0,0.000115574,0.131336701,1136.384064,10.15023479,-2.786738471,-2.928657974,-3.220610335
P14373,TRIM27,TRI27_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; fibrillar center [GO:0001650]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; cell proliferation [GO:0008283]; innate immune response [GO:0045087]; interferon-gamma secretion [GO:0072643]; negative regulation of adaptive immune response [GO:0002820]; negative regulation of calcium ion import [GO:0090281]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of interleukin-2 secretion [GO:1900041]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of viral release from host cell [GO:1902187]; negative regulation of viral transcription [GO:0032897]; positive regulation of actin nucleation [GO:0051127]; positive regulation of DNA binding transcription factor activity [GO:0051091]; protein K63-linked ubiquitination [GO:0070534]; protein trimerization [GO:0070206]; retrograde transport, endosome to Golgi [GO:0042147]; spermatogenesis [GO:0007283]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17156811}. Cytoplasm {ECO:0000269|PubMed:17156811}. Nucleus, PML body {ECO:0000250}. Early endosome {ECO:0000269|PubMed:1437549, ECO:0000269|PubMed:23452853, ECO:0000269|PubMed:9247190}. Note=Nuclear or cytoplasmic depending on the cell type (By similarity). Colocalized with PML and EIF3S6 in nuclear bodies. Recruited to retromer-containing endosomes via interaction with MAGEL2 (PubMed:23452853). {ECO:0000250, ECO:0000269|PubMed:23452853}.",Zinc finger protein RFP (EC 2.3.2.27) (RING finger protein 76) (RING-type E3 ubiquitin transferase TRIM27) (Ret finger protein) (Tripartite motif-containing protein 27),GO:0000122; GO:0001650; GO:0002820; GO:0003676; GO:0003677; GO:0004714; GO:0004842; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0005887; GO:0006351; GO:0006469; GO:0007283; GO:0008270; GO:0008283; GO:0016020; GO:0016605; GO:0031965; GO:0032720; GO:0032897; GO:0034314; GO:0042147; GO:0042802; GO:0045087; GO:0045814; GO:0046872; GO:0051091; GO:0051127; GO:0061630; GO:0070206; GO:0070534; GO:0072643; GO:0090281; GO:1900041; GO:1902187,0.000642864,0.003053985,0.001000392,0.216076523,0.235201996,0.174702571,0.216076523,-2.210385762,0.207094616,0.105113055,12.04212775,0.000174085,0.007376895,-1.40152051,58490,2.132126426,6,0,0,0.001000392,0.216076523,215.9919086,7.754833458,-2.210385762,-2.08802779,-2.517027259
Q7L3B6,CDC37L1,CD37L_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; platelet dense granule lumen [GO:0031089]; chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; platelet degranulation [GO:0002576]; protein folding [GO:0006457]; protein stabilization [GO:0050821],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11413142}.,Hsp90 co-chaperone Cdc37-like 1 (Hsp90-associating relative of Cdc37),GO:0002576; GO:0005576; GO:0005737; GO:0005829; GO:0006457; GO:0031072; GO:0031089; GO:0050821; GO:0051082; GO:0051087,5.20E-05,0.010637563,5.67E-05,0.654656786,0.74893943,0.880056782,0.74893943,-0.417079049,0.757635586,0.382399873,12.02808784,0.000174943,0.007376895,-1.407544949,38835,2.132126426,3,0,0,5.67E-05,0.74893943,13209.91448,13.68933351,-0.611189345,-0.417079049,-0.184331484
Q9ULJ6,ZMIZ1,ZMIZ1_HUMAN,"cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; zinc ion binding [GO:0008270]; artery morphogenesis [GO:0048844]; cell aging [GO:0007569]; developmental growth [GO:0048589]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription, DNA-templated [GO:0006351]; vasculogenesis [GO:0001570]; vitellogenesis [GO:0007296]",SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:14609956}. Cytoplasm {ECO:0000269|PubMed:14609956}.,Zinc finger MIZ domain-containing protein 1 (PIAS-like protein Zimp10) (Retinoic acid-induced protein 17),GO:0001570; GO:0001701; GO:0003007; GO:0005654; GO:0005737; GO:0006351; GO:0007296; GO:0007569; GO:0008270; GO:0016607; GO:0043231; GO:0045582; GO:0045747; GO:0045944; GO:0048146; GO:0048589; GO:0048844,0.014061924,0.037420702,0.028124227,0.307880922,0.369929506,0.404339382,0.369929506,-1.43467772,0.334180986,0.19362611,11.96209926,0.000179045,0.007444864,-1.435949278,115483,2.128143234,5,0,0,0.028124227,0.369929506,13.1534108,3.717365047,-1.69955562,-1.43467772,-1.306361369
