PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_T_1,ConditionNorm_N41_T_2,ConditionNorm_N41_T_3,ConditionNorm_N41_T_4,ConditionNorm_N41_T_5,MedianConditionNormN41N,MedianConditionNormN41T,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,N41N_Undetected,N41T_Undetected,LysoAssociated,LiveAssociated,NES
Q68DQ2,CRYBG3,CRBG3_HUMAN,protein-containing complex [GO:0032991]; carbohydrate binding [GO:0030246]; protein kinase A binding [GO:0051018],,Very large A-kinase anchor protein (vlAKAP) (Beta/gamma crystallin domain-containing protein 3),GO:0030246; GO:0032991; GO:0051018,0.162834688,0.263807066,0.225903231,0.152709636,1.00E-07,1.00E-07,1.00E-07,0.02231066,1.00E-07,0.237866331,1.00E-07,-0.227674768,0.118299596,-9.74765472,6.90E-06,3.79E-05,3.307108913,"330,633",4.421317991,30,0,4,,,1
P55287,CDH11,CAD11_HUMAN,cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; adherens junction organization [GO:0034332]; cell adhesion [GO:0007155]; corticospinal tract morphogenesis [GO:0021957]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; ossification [GO:0001503]; skeletal system development [GO:0001501],SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.,Cadherin-11 (OSF-4) (Osteoblast cadherin) (OB-cadherin),GO:0001501; GO:0001503; GO:0005509; GO:0005737; GO:0005886; GO:0007155; GO:0007156; GO:0016021; GO:0021957; GO:0034332; GO:0070062,1.477834522,1.401205779,1.291914427,1.262153977,1.076342893,1.032671554,1.244037521,1.072098485,0.906548659,1.564667707,1.072098485,-0.510867499,1.321773572,-8.631146204,1.77E-05,8.46E-05,2.265621158,"87,965",4.072732715,11,0,0,,,1
O95248,SBF1,MTMR5_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear body [GO:0016604]; phosphatase regulator activity [GO:0019208]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]; phosphatidylinositol biosynthetic process [GO:0006661]; protein dephosphorylation [GO:0006470]; regulation of GTPase activity [GO:0043087]; spermatogenesis [GO:0007283],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9537414}.,Myotubularin-related protein 5 (SET-binding factor 1) (Sbf1),GO:0005737; GO:0005789; GO:0005829; GO:0006470; GO:0006661; GO:0007283; GO:0008138; GO:0016021; GO:0016604; GO:0017112; GO:0019208; GO:0043087,0.057586272,0.080034282,0.123559446,0.095205268,0.011868209,1.00E-07,0.025537106,0.000289463,1.00E-07,0.195251468,0.000289463,-0.178999208,0.097038599,-8.597438276,1.83E-05,8.68E-05,2.232503414,"208,443",4.061471007,42,0,2,,1,1
P54284,CACNB3,CACB3_HUMAN,apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; L-type voltage-gated calcium channel complex [GO:1990454]; membrane [GO:0016020]; plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]; calcium channel activity [GO:0005262]; high voltage-gated calcium channel activity [GO:0008331]; protein kinase binding [GO:0019901]; voltage-gated calcium channel activity [GO:0005245]; calcium ion transmembrane transport via high voltage-gated calcium channel [GO:0061577]; calcium ion transport [GO:0006816]; calcium ion transport into cytosol [GO:0060402]; cellular response to oxygen-glucose deprivation [GO:0090650]; chemical synaptic transmission [GO:0007268]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; membrane depolarization [GO:0051899]; negative regulation of detection of mechanical stimulus involved in sensory perception of touch [GO:1905788]; negative regulation of voltage-gated calcium channel activity [GO:1901386]; neuromuscular junction development [GO:0007528]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of high voltage-gated calcium channel activity [GO:1901843]; positive regulation of protein targeting to membrane [GO:0090314]; protein localization to plasma membrane [GO:0072659]; regulation of membrane hyperpolarization [GO:1902630]; regulation of membrane repolarization during action potential [GO:0098903]; regulation of voltage-gated calcium channel activity [GO:1901385],,Voltage-dependent L-type calcium channel subunit beta-3 (CAB3) (Calcium channel voltage-dependent subunit beta 3),GO:0005245; GO:0005262; GO:0005829; GO:0005886; GO:0005891; GO:0006816; GO:0007268; GO:0007528; GO:0008331; GO:0016020; GO:0016324; GO:0019901; GO:0050966; GO:0051899; GO:0060402; GO:0061577; GO:0072659; GO:0090314; GO:0090650; GO:0098903; GO:1901385; GO:1901386; GO:1901843; GO:1902630; GO:1905788; GO:1990454; GO:2000463,0.158070904,0.177065534,0.164118303,0.255349699,1.00E-07,1.00E-07,1.00E-07,2.46E-05,1.00E-07,0.166972314,1.00E-07,-0.181004559,0.090507278,-8.50864726,1.98E-05,9.28E-05,2.144766832,"54,532",4.032657032,11,0,4,,,1
Q9HCM2,PLXNA4,PLXA4_HUMAN,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; semaphorin receptor complex [GO:0002116]; semaphorin receptor activity [GO:0017154]; anterior commissure morphogenesis [GO:0021960]; branchiomotor neuron axon guidance [GO:0021785]; chemorepulsion of branchiomotor axon [GO:0021793]; facial nerve structural organization [GO:0021612]; glossopharyngeal nerve morphogenesis [GO:0021615]; postganglionic parasympathetic fiber development [GO:0021784]; regulation of axon extension involved in axon guidance [GO:0048841]; regulation of negative chemotaxis [GO:0050923]; semaphorin-plexin signaling pathway [GO:0071526]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; sympathetic nervous system development [GO:0048485]; trigeminal nerve structural organization [GO:0021637]; vagus nerve morphogenesis [GO:0021644],SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.,Plexin-A4,GO:0002116; GO:0005886; GO:0016021; GO:0017154; GO:0021612; GO:0021615; GO:0021637; GO:0021644; GO:0021784; GO:0021785; GO:0021793; GO:0021960; GO:0048485; GO:0048841; GO:0050923; GO:0071526; GO:1902287,0.190197158,0.756543429,0.259839764,0.164771258,1.00E-07,1.00E-07,1.00E-07,9.26E-05,0.145714415,1.209253409,1.00E-07,-1.089840969,0.574081945,-8.274709426,2.45E-05,0.000111008,1.910070937,"212,455",3.954644214,13,0,3,,,1
Q8N1F7,NUP93,NUP93_HUMAN,membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; structural constituent of nuclear pore [GO:0017056]; glomerular visceral epithelial cell development [GO:0072015]; glomerular visceral epithelial cell migration [GO:0090521]; mRNA export from nucleus [GO:0006406]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; nuclear envelope organization [GO:0006998]; nuclear pore complex assembly [GO:0051292]; poly(A)+ mRNA export from nucleus [GO:0016973]; positive regulation of SMAD protein signal transduction [GO:0060391]; renal system development [GO:0072001]; SMAD protein signal transduction [GO:0060395]; viral process [GO:0016032],"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:Q66HC5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q66HC5}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:12802065, ECO:0000269|PubMed:15229283, ECO:0000269|PubMed:9348540}. Nucleus envelope {ECO:0000269|PubMed:26878725, ECO:0000269|PubMed:9348540}. Note=Localizes at the nuclear basket and at or near the nuclear entry to the gated channel of the pore. {ECO:0000269|PubMed:9348540}.",Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (Nucleoporin Nup93),GO:0005635; GO:0005643; GO:0006406; GO:0006998; GO:0016020; GO:0016032; GO:0016973; GO:0017056; GO:0031965; GO:0034399; GO:0051292; GO:0060391; GO:0060395; GO:0072001; GO:0072015; GO:0090521; GO:1903206,0.048644152,0.051067025,0.053267311,0.045945022,0.01229152,0.014892449,0.007990756,0.014991049,0.020488629,0.078224672,0.014892449,-0.058307604,0.043284682,-7.479306297,5.25E-05,0.000210873,1.07146471,"93,488",3.675979074,47,0,0,,1,1
O75351,VPS4B,VPS4B_HUMAN,"centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; Flemming body [GO:0090543]; late endosome membrane [GO:0031902]; nucleus [GO:0005634]; spindle pole [GO:0000922]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; identical protein binding [GO:0042802]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; cell separation after cytokinesis [GO:0000920]; cholesterol transport [GO:0030301]; endosomal transport [GO:0016197]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; ESCRT III complex disassembly [GO:1904903]; late endosomal microautophagy [GO:0061738]; macroautophagy [GO:0016236]; mitotic metaphase plate congression [GO:0007080]; multivesicular body assembly [GO:0036258]; negative regulation of cell death [GO:0060548]; negative regulation of exosomal secretion [GO:1903542]; nucleus organization [GO:0006997]; positive regulation of centriole elongation [GO:1903724]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of viral life cycle [GO:1903902]; positive regulation of viral process [GO:0048524]; positive regulation of viral release from host cell [GO:1902188]; potassium ion transport [GO:0006813]; protein depolymerization [GO:0051261]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; regulation of viral process [GO:0050792]; response to lipid [GO:0033993]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway [GO:0090611]; viral budding via host ESCRT complex [GO:0039702]; viral life cycle [GO:0019058]; viral release from host cell [GO:0019076]",SUBCELLULAR LOCATION: Prevacuolar compartment membrane; Peripheral membrane protein. Late endosome membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Note=Membrane-associated in the prevacuolar endosomal compartment. Localized in HIV-1 particles purified from acutely infected cells.,Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1),GO:0000920; GO:0000922; GO:0005524; GO:0005634; GO:0005737; GO:0005768; GO:0005813; GO:0005829; GO:0006813; GO:0006997; GO:0007080; GO:0008022; GO:0010008; GO:0010824; GO:0010971; GO:0015031; GO:0016197; GO:0016236; GO:0016887; GO:0019058; GO:0019076; GO:0030301; GO:0031902; GO:0032510; GO:0033993; GO:0036258; GO:0039702; GO:0042623; GO:0042802; GO:0042803; GO:0043162; GO:0048524; GO:0050792; GO:0051261; GO:0060548; GO:0061738; GO:0070062; GO:0090543; GO:0090611; GO:1901673; GO:1902188; GO:1903542; GO:1903543; GO:1903724; GO:1903902; GO:1904903,0.121843739,0.156273697,0.170533802,0.103415641,0.104357961,0.11328605,0.145818375,0.083890553,0.103363145,0.236069329,0.104357961,-0.126705464,0.173495949,-7.468604687,5.30E-05,0.000212397,1.059730651,"49,302",3.672851105,13,0,0,,1,1
Q9P107,GMIP,GMIP_HUMAN,cytosol [GO:0005829]; intracellular [GO:0005622]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]; negative regulation of GTPase activity [GO:0034260]; regulation of small GTPase mediated signal transduction [GO:0051056],,GEM-interacting protein (GMIP),GO:0005096; GO:0005622; GO:0005654; GO:0005829; GO:0005886; GO:0034260; GO:0035556; GO:0046872; GO:0051056,0.283786669,0.28243327,0.294240132,0.289418163,0.118782219,0.151686579,0.17127293,0.192473363,0.150881272,0.298898672,0.151686579,-0.161900782,0.237969664,-6.786270586,0.000107373,0.000394427,0.284945739,"106,683",3.404033133,21,0,0,,1,1
O75781,PALM,PALM_HUMAN,apicolateral plasma membrane [GO:0016327]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle [GO:0031410]; dendritic spine membrane [GO:0032591]; filopodium membrane [GO:0031527]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; D3 dopamine receptor binding [GO:0031750]; adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway [GO:0007193]; cellular response to electrical stimulus [GO:0071257]; cytoskeleton organization [GO:0007010]; negative regulation of adenylate cyclase activity [GO:0007194]; negative regulation of dopamine receptor signaling pathway [GO:0060160]; positive regulation of filopodium assembly [GO:0051491]; protein localization to plasma membrane [GO:0072659]; regulation of cell shape [GO:0008360]; synapse maturation [GO:0060074],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14978216}; Lipid-anchor {ECO:0000269|PubMed:14978216}; Cytoplasmic side {ECO:0000269|PubMed:14978216}. Cell projection, filopodium membrane {ECO:0000269|PubMed:14978216}; Lipid-anchor {ECO:0000269|PubMed:14978216}. Cell projection, axon {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Basolateral cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Apicolateral cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Note=Translocation to the plasma membrane is enhanced upon stimulation of neuronal activity.",Paralemmin-1 (Paralemmin),GO:0005634; GO:0005886; GO:0005887; GO:0007010; GO:0007193; GO:0007194; GO:0008360; GO:0014069; GO:0016323; GO:0016327; GO:0030424; GO:0031410; GO:0031527; GO:0031750; GO:0032591; GO:0043231; GO:0051491; GO:0060074; GO:0060160; GO:0071257; GO:0072659,0.090769532,1.00E-07,0.002066114,1.00E-07,1.00E-07,1.00E-07,0.049181178,1.00E-07,1.00E-07,0.148616168,1.00E-07,-0.141298411,0.080485521,-6.739942048,0.000112853,0.000410802,0.230371225,"42,076",3.386367141,9,0,4,,1,1
Q75N90,FBN3,FBN3_HUMAN,extracellular matrix [GO:0031012]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; anatomical structure morphogenesis [GO:0009653]; regulation of cellular response to growth factor stimulus [GO:0090287],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14962672}.",Fibrillin-3 [Cleaved into: Fibrillin-3 C-terminal peptide],GO:0005201; GO:0005509; GO:0009653; GO:0031012; GO:0090287,0.111619605,0.067845613,0.047405402,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.272176663,1.00E-07,-0.261571032,0.130785616,-6.602763663,0.000130963,0.000467485,0.067248799,"300,356",3.330232665,3,0,5,,,1
Q9Y216,MTMR7,MTMR7_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity [GO:0052629]; phosphatidylinositol-3-phosphatase activity [GO:0004438]; protein tyrosine phosphatase activity [GO:0004725]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol dephosphorylation [GO:0046856]; protein dephosphorylation [GO:0006470]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16787938}.,Myotubularin-related protein 7 (EC 3.1.3.-),GO:0004438; GO:0004725; GO:0005737; GO:0005829; GO:0006470; GO:0006661; GO:0016020; GO:0046855; GO:0046856; GO:0052629,0.168230991,1.00E-07,1.00E-07,1.00E-07,0.254814675,1.00E-07,1.00E-07,1.00E-07,1.00E-07,14.64119753,1.00E-07,-12.2533143,6.177620167,-6.560925051,0.000137105,0.000487193,0.017038275,"75,833",3.312299233,14,0,4,,1,1
Q9Y3S1,WNK2,WNK2_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; ion homeostasis [GO:0050801]; negative regulation of cell proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17667937, ECO:0000269|PubMed:18593598}. Cell membrane {ECO:0000269|PubMed:18593598}.",Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43),GO:0004674; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0008285; GO:0035556; GO:0046777; GO:0050801; GO:0070373; GO:0090263; GO:2000651,0.087613467,0.180184996,0.102981861,0.212237595,1.00E-07,1.00E-07,1.00E-07,0.00017119,1.00E-07,0.282575617,1.00E-07,-0.266542079,0.133305358,-6.495089817,0.00014742,0.000519453,-0.062409804,"242,676",3.284453525,25,0,4,,,1
Q8IV36,HID1,HID1_HUMAN,cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extrinsic component of Golgi membrane [GO:0090498]; Golgi apparatus [GO:0005794]; Golgi medial cisterna [GO:0005797]; Golgi trans cisterna [GO:0000138]; intracellular protein transport [GO:0006886]; response to brefeldin A [GO:0031001],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21337012}. Golgi apparatus membrane {ECO:0000269|PubMed:21337012}; Lipid-anchor {ECO:0000269|PubMed:21337012}. Note=Shuttles between the cytosol and the Golgi apparatus.,Protein HID1 (Down-regulated in multiple cancers 1) (HID1 domain-containing protein) (Protein hid-1 homolog),GO:0000138; GO:0005737; GO:0005794; GO:0005797; GO:0005829; GO:0005881; GO:0006886; GO:0031001; GO:0070062; GO:0090498,0.139079971,0.126394562,0.131983501,0.150181158,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.501417449,1.00E-07,-0.471698462,0.235849331,-6.265415435,0.000190647,0.000648299,-0.343839893,"88,745",3.188224779,11,0,5,,,1
Q96EK9,KTI12,KTI12_HUMAN,ATP binding [GO:0005524],,Protein KTI12 homolog,GO:0005524,0.104525763,0.153861926,0.055479135,0.09006165,0.041763391,0.047409449,0.127127007,0.031224284,0.025681394,0.189045596,0.041763391,-0.127751124,0.118516667,-5.90012883,0.000290882,0.000937614,-0.805465261,"38,616",3.027975958,13,0,0,,1,1
Q4AC94,C2CD3,C2CD3_HUMAN,centriolar satellite [GO:0034451]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; brain development [GO:0007420]; centriole elongation [GO:0061511]; ciliary basal body-plasma membrane docking [GO:0097711]; embryonic digit morphogenesis [GO:0042733]; heart looping [GO:0001947]; in utero embryonic development [GO:0001701]; neural plate axis specification [GO:0021997]; neural tube development [GO:0021915]; non-motile cilium assembly [GO:1905515]; protein localization to centrosome [GO:0071539]; protein processing [GO:0016485]; regulation of proteolysis [GO:0030162]; regulation of smoothened signaling pathway [GO:0008589],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:23769972, ECO:0000269|PubMed:24997988}. Note=Localizes to centrioles and procentrioles both in interphase and mitosis. Localizes to centriolar satellites, localization is dependent on PCM1 and dynein-mediated retrograde transport. Also localizes to the distal ends of the mother and daughter centrioles.",C2 domain-containing protein 3,GO:0001701; GO:0001947; GO:0005813; GO:0005814; GO:0005829; GO:0007420; GO:0008589; GO:0016485; GO:0021915; GO:0021997; GO:0030162; GO:0034451; GO:0036064; GO:0042733; GO:0061511; GO:0071539; GO:0097711; GO:1905515,0.311856918,0.396885345,0.357997181,0.136110683,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.612213745,1.00E-07,-0.620219809,0.310110005,-5.159926577,0.000722843,0.002067885,-1.796068148,"260,389",2.684473615,3,0,5,,,1
Q5H9R4,ARMCX4,ARMX4_HUMAN,integral component of membrane [GO:0016021],SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.,Armadillo repeat-containing X-linked protein 4,GO:0016021,0.032135427,0.052474942,0.052512833,0.068567873,1.00E-07,1.00E-07,0.023444667,0.000100081,1.00E-07,0.139719661,1.00E-07,-0.125344364,0.067381192,-5.147578221,0.000734376,0.002097633,-1.813237532,"39,406",2.67827059,13,0,3,,,1
P22830,FECH,HEMH_HUMAN,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 2 iron, 2 sulfur cluster binding [GO:0051537]; ferrochelatase activity [GO:0004325]; ferrous iron binding [GO:0008198]; cellular response to dexamethasone stimulus [GO:0071549]; generation of precursor metabolites and energy [GO:0006091]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX metabolic process [GO:0046501]; response to arsenic-containing substance [GO:0046685]; response to ethanol [GO:0045471]; response to insecticide [GO:0017085]; response to lead ion [GO:0010288]; response to light stimulus [GO:0009416]; response to methylmercury [GO:0051597]; response to platinum ion [GO:0070541]",SUBCELLULAR LOCATION: Mitochondrion inner membrane; Peripheral membrane protein; Matrix side.,"Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)",GO:0004325; GO:0005739; GO:0005743; GO:0005759; GO:0006091; GO:0006783; GO:0008198; GO:0009416; GO:0010288; GO:0017085; GO:0045471; GO:0046501; GO:0046685; GO:0051537; GO:0051597; GO:0070541; GO:0071549,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.098533471,0.10340501,0.038258186,0.128519095,0.053634326,1.00E-07,0.098533471,0.082532757,0.043203639,5.062563777,0.000819411,0.002307027,-1.932023071,"47,862",2.636947229,12,3,0,,,1
O14559,ARHGAP33,RHG33_HUMAN,actin cytoskeleton [GO:0015629]; cell cortex [GO:0005938]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; GTPase activator activity [GO:0005096]; phosphatidylinositol binding [GO:0035091]; protein kinase binding [GO:0019901]; protein transport [GO:0015031]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of small GTPase mediated signal transduction [GO:0051056]; response to toxic substance [GO:0009636]; small GTPase mediated signal transduction [GO:0007264],,Rho GTPase-activating protein 33 (Rho-type GTPase-activating protein 33) (Sorting nexin-26) (Tc10/CDC42 GTPase-activating protein),GO:0005096; GO:0005829; GO:0005886; GO:0005938; GO:0007264; GO:0009636; GO:0015031; GO:0015629; GO:0019901; GO:0032991; GO:0035091; GO:0043197; GO:0051056; GO:0061001,0.16536451,0.18160633,0.253304843,0.139430982,1.00E-07,0.08217884,1.00E-07,1.00E-07,1.00E-07,0.279830889,1.00E-07,-0.223946196,0.128408946,-5.026931618,0.000858182,0.002403013,-1.982111029,"137,213",2.619243881,9,0,4,,,1
Q5U5Q3,MEX3C,MEX3C_HUMAN,cytoplasm [GO:0005737]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; transferase activity [GO:0016740]; chondrocyte hypertrophy [GO:0003415]; energy homeostasis [GO:0097009]; regulation of fat cell differentiation [GO:0045598],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17267406}. Nucleus {ECO:0000269|PubMed:17267406}. Note=Predominantly expressed in the cytoplasm and shuttles between the cytoplasm and the nucleus through the CRM1 export pathway. May act as suppressor of replication stress and chromosome missegregation.,RNA-binding E3 ubiquitin-protein ligase MEX3C (EC 2.3.2.27) (RING finger and KH domain-containing protein 2) (RING finger protein 194) (RING-type E3 ubiquitin transferase MEX3C),GO:0003415; GO:0003723; GO:0005634; GO:0005737; GO:0016740; GO:0045598; GO:0046872; GO:0097009,1.821548288,3.907397644,4.521159612,3.480481287,1.855366608,1.236290681,0.599214581,0.625582185,1.968319604,2.695890775,1.236290681,-1.404558642,1.959234053,-4.877923887,0.001043275,0.002854727,-2.193498437,"69,366",2.544435353,4,0,0,,,1
Q7Z6J6,FRMD5,FRMD5_HUMAN,adherens junction [GO:0005912]; cytoskeleton [GO:0005856]; integral component of membrane [GO:0016021]; cytoskeletal protein binding [GO:0008092]; integrin binding [GO:0005178]; protein kinase binding [GO:0019901]; structural constituent of cytoskeleton [GO:0005200]; actomyosin structure organization [GO:0031032]; negative regulation of cell motility [GO:2000146]; positive regulation of cell adhesion [GO:0045785]; regulation of cell migration [GO:0030334],"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Cell junction, adherens junction {ECO:0000269|PubMed:22846708}.",FERM domain-containing protein 5,GO:0005178; GO:0005200; GO:0005856; GO:0005912; GO:0008092; GO:0016021; GO:0019901; GO:0030334; GO:0031032; GO:0045785; GO:2000146,0.299077228,0.285228849,0.442937876,0.455134536,1.00E-07,0.260861074,1.00E-07,0.00024215,0.149944276,0.430708818,0.00024215,-0.331633852,0.248026466,-4.800978877,0.001155433,0.003125552,-2.303871577,"65,065",2.505073288,4,0,2,,1,1
Q96JJ7,TMX3,TMX3_HUMAN,cell surface [GO:0009986]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; platelet alpha granule membrane [GO:0031092]; protein disulfide isomerase activity [GO:0003756]; thiol oxidase activity [GO:0016972]; cell redox homeostasis [GO:0045454]; peptidyl-cysteine oxidation [GO:0018171]; platelet degranulation [GO:0002576]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976],SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15623505}; Single-pass membrane protein {ECO:0000269|PubMed:15623505}.,Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3),GO:0002576; GO:0003756; GO:0005789; GO:0005886; GO:0006457; GO:0009986; GO:0016021; GO:0016972; GO:0018171; GO:0031092; GO:0034976; GO:0045454,0.031163794,0.067549121,0.104297902,0.066365671,0.003246741,1.00E-07,0.000762506,0.012307719,0.024866133,0.041465482,0.003246741,-0.031900658,0.024186969,-4.717205483,0.001292564,0.003448079,-2.424978035,"51,872",2.462422741,14,0,1,,,1
Q9UKF7,PITPNC1,PITC1_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; phosphatidic acid binding [GO:0070300]; phosphatidylglycerol binding [GO:1901611]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol transporter activity [GO:0008526]; phospholipid transport [GO:0015914]; signal transduction [GO:0007165],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10531358}.,Cytoplasmic phosphatidylinositol transfer protein 1 (Mammalian rdgB homolog beta) (M-rdgB beta) (MrdgBbeta) (Retinal degeneration B homolog beta) (RdgBbeta),GO:0005654; GO:0005737; GO:0005829; GO:0007165; GO:0008526; GO:0015914; GO:0035091; GO:0070300; GO:1901611,0.006314347,1.00E-07,1.00E-07,1.00E-07,0.373763593,0.173476754,0.165075313,0.242272874,0.494386496,1.00E-07,0.242272874,0.289794906,0.144897553,4.705554958,0.001312989,0.003496513,-2.44189778,"38,388",2.456364876,9,5,0,,,1
